Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,Week,Quarter,DayName
14,4,2015-01-01,6314,621,1,1,0,0,a,c,1500.0,5.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
15,4,2015-01-01,9262,803,1,1,0,0,d,c,3000.0,11.0,2014.0,1,1.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
16,4,2015-01-01,8037,734,1,0,0,0,a,a,500.0,11.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
17,4,2015-01-01,5389,524,1,0,0,0,a,c,500.0,7.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
18,4,2015-01-01,10713,1104,1,1,0,0,d,c,1500.0,5.0,2005.0,1,40.0,2009.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
19,4,2015-01-01,8359,989,1,0,0,0,d,c,120.0,9.0,2014.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
20,4,2015-01-01,6530,941,1,1,0,0,a,a,500.0,9.0,0.0,1,1.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
21,4,2015-01-01,8047,849,1,1,0,0,a,c,1500.0,0.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
22,4,2015-01-01,8278,633,1,1,0,0,a,a,500.0,0.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
23,4,2015-01-01,6063,595,1,0,0,0,d,c,500.0,1.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
24,4,2015-01-01,6086,569,1,0,0,0,a,a,1500.0,1.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
25,4,2015-01-01,9183,709,1,1,0,0,a,c,500.0,1.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
26,4,2015-01-01,6022,594,1,0,0,1,d,a,1500.0,3.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
27,4,2015-01-01,4090,442,1,0,0,0,d,a,15000.0,9.0,2008.0,1,1.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
28,4,2015-01-01,6394,915,1,0,0,0,a,a,1500.0,3.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
29,4,2015-01-01,5977,853,1,1,0,0,a,a,1500.0,5.0,0.0,1,10.0,2015.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
30,4,2015-01-01,8617,719,1,0,0,0,c,c,500.0,11.0,2014.0,1,22.0,2015.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
31,4,2015-01-01,3776,553,1,0,0,0,d,c,500.0,0.0,2014.0,1,31.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
32,4,2015-01-01,11244,1105,1,1,0,0,a,a,3000.0,3.0,2010.0,1,1.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
33,4,2015-01-01,4108,456,1,0,0,0,d,c,1500.0,9.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
34,4,2015-01-01,5130,394,1,1,0,0,d,c,500.0,9.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
35,4,2015-01-01,3637,310,1,0,0,0,a,c,120.0,5.0,0.0,1,22.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
36,4,2015-01-01,5707,601,1,0,0,0,d,a,1500.0,3.0,2008.0,1,40.0,2011.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
37,4,2015-01-01,9422,922,1,0,0,0,d,a,7500.0,3.0,2008.0,1,40.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
38,4,2015-01-01,6706,1187,1,0,0,0,a,a,3000.0,3.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
39,4,2015-01-01,3600,350,1,0,0,0,c,a,7500.0,7.0,2014.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
40,4,2015-01-01,11975,912,1,1,0,0,d,a,1500.0,11.0,2008.0,1,22.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
41,4,2015-01-01,7453,866,1,1,0,0,a,c,500.0,1.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
42,4,2015-01-01,7806,735,1,0,0,0,d,c,120.0,1.0,2014.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
43,4,2015-01-01,4300,374,1,0,0,0,a,a,500.0,0.0,0.0,1,31.0,2011.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
44,4,2015-01-01,14114,1175,1,1,0,0,a,a,1500.0,5.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
45,4,2015-01-01,8690,1155,1,0,0,0,c,a,120.0,9.0,2014.0,1,22.0,2011.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
46,4,2015-01-01,8143,768,1,1,0,0,a,c,500.0,1.0,2014.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
47,4,2015-01-01,6957,775,1,0,0,0,c,a,1500.0,0.0,0.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
48,4,2015-01-01,4252,514,1,0,0,0,a,c,500.0,7.0,2010.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
49,4,2015-01-01,5791,728,1,0,0,0,d,a,120.0,1.0,2010.0,1,14.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
50,4,2015-01-01,4232,474,1,0,0,0,a,c,500.0,1.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
51,4,2015-01-01,6971,1130,1,0,0,0,a,c,120.0,1.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
52,4,2015-01-01,9240,757,1,1,0,0,a,a,120.0,7.0,2012.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
53,4,2015-01-01,5311,477,1,0,0,0,a,c,1500.0,0.0,0.0,1,14.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
54,4,2015-01-01,6519,742,1,0,0,0,a,a,1500.0,0.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
55,4,2015-01-01,9042,908,1,1,0,0,d,c,1500.0,1.0,2005.0,1,22.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
56,4,2015-01-01,4501,419,1,0,0,0,a,a,1500.0,7.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
57,4,2015-01-01,9341,1034,1,1,0,0,a,c,1500.0,0.0,2012.0,1,10.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
58,4,2015-01-01,2808,446,1,0,0,0,d,c,1500.0,0.0,0.0,1,14.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
59,4,2015-01-01,10650,1114,1,0,0,1,d,c,500.0,7.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
60,4,2015-01-01,7574,695,1,0,0,0,a,a,1500.0,11.0,0.0,1,31.0,2011.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
61,4,2015-01-01,13601,1166,1,0,0,0,a,c,500.0,5.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
62,4,2015-01-01,4050,358,1,0,0,0,a,a,15000.0,5.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
63,4,2015-01-01,7396,820,1,0,0,0,c,c,3000.0,5.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
64,4,2015-01-01,9435,793,1,0,0,0,c,c,1500.0,5.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
65,4,2015-01-01,14362,1137,1,1,0,0,a,c,1500.0,0.0,2014.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
66,4,2015-01-01,9500,976,1,0,0,0,a,a,15000.0,3.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
67,4,2015-01-01,3700,326,1,0,0,0,d,c,1500.0,1.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
68,4,2015-01-01,7436,1120,1,0,0,0,c,c,500.0,7.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
69,4,2015-01-01,4975,857,1,0,0,0,d,c,15000.0,1.0,2012.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
70,4,2015-01-01,6496,1093,1,0,0,0,a,a,3000.0,5.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
71,4,2015-01-01,10471,1106,1,0,0,0,a,c,120.0,1.0,2008.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
72,4,2015-01-01,4442,368,1,1,0,1,a,c,7500.0,9.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
73,4,2015-01-01,8691,790,1,0,0,0,d,c,500.0,5.0,2008.0,1,40.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
74,4,2015-01-01,6190,800,1,0,0,0,a,a,500.0,7.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
75,4,2015-01-01,2894,341,1,0,0,0,c,c,3000.0,11.0,0.0,1,14.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
76,4,2015-01-01,5323,777,1,1,0,0,a,a,120.0,0.0,2014.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
77,4,2015-01-01,3689,316,1,0,0,1,d,c,1500.0,11.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
78,4,2015-01-01,6545,638,1,0,0,1,d,c,500.0,3.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
79,4,2015-01-01,4142,499,1,1,0,0,a,a,500.0,0.0,2012.0,1,14.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
80,4,2015-01-01,6095,837,1,1,0,0,a,a,15000.0,9.0,2010.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
81,4,2015-01-01,5689,385,1,1,0,0,a,a,1500.0,1.0,2010.0,1,22.0,2009.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
82,4,2015-01-01,14679,1139,1,1,0,0,a,a,1500.0,0.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
83,4,2015-01-01,7349,701,1,1,0,0,a,c,500.0,7.0,2014.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
84,4,2015-01-01,4201,487,1,0,0,0,d,a,1500.0,0.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
85,4,2015-01-01,6113,663,1,0,0,0,d,c,120.0,0.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
86,4,2015-01-01,10059,1021,1,1,0,0,d,a,3000.0,0.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
87,4,2015-01-01,5598,469,1,0,0,0,a,a,1500.0,0.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
88,4,2015-01-01,6181,1038,1,0,0,1,d,c,3000.0,3.0,2012.0,1,31.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
89,4,2015-01-01,5459,544,1,1,0,0,d,a,1500.0,9.0,0.0,1,31.0,2015.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
90,4,2015-01-01,6929,658,1,1,0,0,d,c,1500.0,0.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
91,4,2015-01-01,10700,969,1,0,0,0,a,c,1500.0,3.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
92,4,2015-01-01,5491,884,1,0,0,0,d,c,120.0,3.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
93,4,2015-01-01,2586,360,1,0,0,1,d,a,120.0,5.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
94,4,2015-01-01,4251,310,1,1,0,1,c,a,500.0,11.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
95,4,2015-01-01,11306,959,1,1,0,0,a,c,500.0,11.0,2005.0,1,31.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
96,4,2015-01-01,4198,525,1,0,0,0,d,c,500.0,7.0,2005.0,1,10.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
97,4,2015-01-01,11510,1072,1,1,0,0,c,a,120.0,0.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
98,4,2015-01-01,7189,872,1,1,0,1,c,a,500.0,3.0,2008.0,1,10.0,2009.0,"Feb,May,Aug,Nov",2015,1,1,1,1,Thursday
99,4,2015-01-01,5186,459,1,1,0,0,a,c,500.0,1.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
100,4,2015-01-01,3998,656,1,0,0,0,b,c,500.0,9.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
1,5,2015-01-02,5785,494,1,0,0,0,a,c,3000.0,7.0,2012.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
2,5,2015-01-02,4209,694,1,0,0,1,a,a,7500.0,5.0,2008.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
3,5,2015-01-02,4143,475,1,0,0,0,d,c,500.0,5.0,2012.0,1,10.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
4,5,2015-01-02,5262,892,1,0,0,1,a,a,1500.0,1.0,2010.0,1,40.0,2011.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
5,5,2015-01-02,8499,867,1,0,0,1,c,a,15000.0,0.0,2008.0,1,31.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
6,5,2015-01-02,4969,446,1,0,0,1,a,c,1500.0,1.0,0.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
7,5,2015-01-02,5860,662,1,1,0,0,a,a,1500.0,5.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
8,5,2015-01-02,4492,306,1,1,0,0,a,c,500.0,9.0,2014.0,1,40.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
9,5,2015-01-02,7504,693,1,0,0,1,d,a,500.0,5.0,2014.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
10,5,2015-01-02,10595,1017,1,0,0,1,d,c,3000.0,11.0,2012.0,1,1.0,2015.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
11,5,2015-01-02,3765,412,1,0,0,0,a,c,120.0,11.0,0.0,1,22.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
12,5,2015-01-02,7136,974,1,1,0,0,d,c,3000.0,0.0,2008.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
13,5,2015-01-02,9095,1130,1,0,0,1,a,a,7500.0,5.0,2005.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
14,5,2015-01-02,12223,1163,1,0,0,1,a,c,1500.0,5.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
15,5,2015-01-02,10154,1185,1,1,0,0,d,c,3000.0,11.0,2014.0,1,1.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
16,5,2015-01-02,12807,986,1,1,0,1,a,a,500.0,11.0,0.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
17,5,2015-01-02,1851,328,1,0,0,0,a,c,500.0,7.0,2008.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
18,5,2015-01-02,6705,837,1,1,0,0,d,c,1500.0,5.0,2005.0,1,40.0,2009.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
19,5,2015-01-02,0,0,0,0,0,0,d,c,120.0,9.0,2014.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
20,5,2015-01-02,14151,1183,1,1,0,0,a,a,500.0,9.0,0.0,1,1.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
21,5,2015-01-02,14440,1148,1,1,0,0,a,c,1500.0,0.0,2008.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
22,5,2015-01-02,4548,383,1,1,0,0,a,a,500.0,0.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
23,5,2015-01-02,8547,826,1,0,0,0,d,c,500.0,1.0,2008.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
24,5,2015-01-02,5920,570,1,1,0,0,a,a,1500.0,1.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
25,5,2015-01-02,3951,608,1,0,0,1,a,c,500.0,1.0,2012.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
26,5,2015-01-02,12212,992,1,1,0,0,d,a,1500.0,3.0,2008.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
27,5,2015-01-02,6134,505,1,1,0,0,d,a,15000.0,9.0,2008.0,1,1.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
28,5,2015-01-02,11000,1130,1,0,0,0,a,a,1500.0,3.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
29,5,2015-01-02,7863,1016,1,1,0,0,a,a,1500.0,5.0,0.0,1,10.0,2015.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
30,5,2015-01-02,9234,906,1,0,0,0,c,c,500.0,11.0,2014.0,1,22.0,2015.0,"Feb,May,Aug,Nov",2015,1,2,1,1,Friday
31,5,2015-01-02,8243,691,1,1,0,0,d,c,500.0,0.0,2014.0,1,31.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
32,5,2015-01-02,5456,971,1,0,0,1,a,a,3000.0,3.0,2010.0,1,1.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
33,5,2015-01-02,4624,541,1,1,0,0,d,c,1500.0,9.0,2008.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
34,5,2015-01-02,6754,888,1,1,0,0,d,c,500.0,9.0,2005.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
35,5,2015-01-02,5999,421,1,1,0,0,a,c,120.0,5.0,0.0,1,22.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
36,5,2015-01-02,7617,616,1,1,0,1,d,a,1500.0,3.0,2008.0,1,40.0,2011.0,"Feb,May,Aug,Nov",2015,1,2,1,1,Friday
37,5,2015-01-02,9375,852,1,1,0,0,d,a,7500.0,3.0,2008.0,1,40.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
38,5,2015-01-02,4932,410,1,1,0,0,a,a,3000.0,3.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
39,5,2015-01-02,2709,321,1,0,0,0,c,a,7500.0,7.0,2014.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
40,5,2015-01-02,2210,311,1,0,0,0,d,a,1500.0,11.0,2008.0,1,22.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
41,5,2015-01-02,9469,1049,1,1,0,0,a,c,500.0,1.0,0.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
42,5,2015-01-02,10121,1111,1,0,0,0,d,c,120.0,1.0,2014.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
43,5,2015-01-02,3482,358,1,0,0,0,a,a,500.0,0.0,0.0,1,31.0,2011.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
44,5,2015-01-02,3630,506,1,0,0,0,a,a,1500.0,5.0,2005.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
45,5,2015-01-02,3684,323,1,1,0,0,c,a,120.0,9.0,2014.0,1,22.0,2011.0,"Feb,May,Aug,Nov",2015,1,2,1,1,Friday
46,5,2015-01-02,10694,861,1,1,0,0,a,c,500.0,1.0,2014.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
47,5,2015-01-02,11613,1039,1,0,0,0,c,a,1500.0,0.0,0.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
48,5,2015-01-02,6310,485,1,1,0,1,a,c,500.0,7.0,2010.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
49,5,2015-01-02,6583,1036,1,0,0,1,d,a,120.0,1.0,2010.0,1,14.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
50,5,2015-01-02,10620,825,1,1,0,0,a,c,500.0,1.0,2012.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
51,5,2015-01-02,8939,801,1,0,0,0,a,c,120.0,1.0,0.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
52,5,2015-01-02,6838,1042,1,0,0,0,a,a,120.0,7.0,2012.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
53,5,2015-01-02,4263,560,1,0,0,1,a,c,1500.0,0.0,0.0,1,14.0,2009.0,"Feb,May,Aug,Nov",2015,1,2,1,1,Friday
54,5,2015-01-02,4122,586,1,0,0,0,a,a,1500.0,0.0,0.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
55,5,2015-01-02,12444,1143,1,0,0,0,d,c,1500.0,1.0,2005.0,1,22.0,2009.0,"Feb,May,Aug,Nov",2015,1,2,1,1,Friday
56,5,2015-01-02,4030,612,1,0,0,1,a,a,1500.0,7.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
57,5,2015-01-02,5314,503,1,1,0,0,a,c,1500.0,0.0,2012.0,1,10.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
58,5,2015-01-02,8279,919,1,0,0,1,d,c,1500.0,0.0,0.0,1,14.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
59,5,2015-01-02,1861,319,1,0,0,0,d,c,500.0,7.0,2012.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
60,5,2015-01-02,7010,1136,1,0,0,1,a,a,1500.0,11.0,0.0,1,31.0,2011.0,"Feb,May,Aug,Nov",2015,1,2,1,1,Friday
61,5,2015-01-02,5128,515,1,0,0,1,a,c,500.0,5.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
62,5,2015-01-02,4659,522,1,1,0,1,a,a,15000.0,5.0,2005.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
63,5,2015-01-02,5152,683,1,1,0,0,c,c,3000.0,5.0,2005.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
64,5,2015-01-02,3910,640,1,0,0,0,c,c,1500.0,5.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
65,5,2015-01-02,4740,474,1,0,0,1,a,c,1500.0,0.0,2014.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
66,5,2015-01-02,4839,444,1,0,0,0,a,a,15000.0,3.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
67,5,2015-01-02,12767,1113,1,0,0,1,d,c,1500.0,1.0,2012.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
68,5,2015-01-02,4861,368,1,1,0,0,c,c,500.0,7.0,0.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
69,5,2015-01-02,10428,884,1,1,0,0,d,c,15000.0,1.0,2012.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
70,5,2015-01-02,6001,788,1,1,0,0,a,a,3000.0,5.0,0.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
71,5,2015-01-02,8553,753,1,0,0,0,a,c,120.0,1.0,2008.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct",2015,1,2,1,1,Friday
72,5,2015-01-02,4777,643,1,0,0,1,a,c,7500.0,9.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
73,5,2015-01-02,9253,1010,1,0,0,0,d,c,500.0,5.0,2008.0,1,40.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,2,1,1,Friday
74,5,2015-01-02,6677,796,1,0,0,0,a,a,500.0,7.0,2012.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
75,5,2015-01-02,13183,1141,1,1,0,0,c,c,3000.0,11.0,0.0,1,14.0,2009.0,"Feb,May,Aug,Nov",2015,1,2,1,1,Friday
76,5,2015-01-02,9336,753,1,1,0,0,a,a,120.0,0.0,2014.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
77,5,2015-01-02,4202,592,1,0,0,0,d,c,1500.0,11.0,2012.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
78,5,2015-01-02,9016,797,1,1,0,1,d,c,500.0,3.0,2010.0,0,0.0,0.0,None,2015,1,2,1,1,Friday
