Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
57,a,c,1500.0,,2012.0,1,10.0,2009.0,"Mar,Jun,Sept,Dec"
58,d,c,1500.0,,,1,14.0,2009.0,"Mar,Jun,Sept,Dec"
59,d,c,500.0,7.0,2012.0,0,,,
60,a,a,1500.0,11.0,,1,31.0,2011.0,"Feb,May,Aug,Nov"
61,a,c,500.0,5.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
62,a,a,15000.0,5.0,2005.0,0,,,
63,c,c,3000.0,5.0,2005.0,0,,,
64,c,c,1500.0,5.0,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
65,a,c,1500.0,,2014.0,0,,,
66,a,a,15000.0,3.0,2010.0,0,,,
67,d,c,1500.0,1.0,2012.0,0,,,
68,c,c,500.0,7.0,,0,,,
69,d,c,15000.0,1.0,2012.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec"
70,a,a,3000.0,5.0,,0,,,
71,a,c,120.0,1.0,2008.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct"
72,a,c,7500.0,9.0,2010.0,0,,,
73,d,c,500.0,5.0,2008.0,1,40.0,2013.0,"Mar,Jun,Sept,Dec"
74,a,a,500.0,7.0,2012.0,0,,,
75,c,c,3000.0,11.0,,1,14.0,2009.0,"Feb,May,Aug,Nov"
76,a,a,120.0,,2014.0,0,,,
77,d,c,1500.0,11.0,2012.0,0,,,
78,d,c,500.0,3.0,2010.0,0,,,
79,a,a,500.0,,2012.0,1,14.0,2015.0,"Mar,Jun,Sept,Dec"
80,a,a,15000.0,9.0,2010.0,0,,,
81,a,a,1500.0,1.0,2010.0,1,22.0,2009.0,"Jan,Apr,Jul,Oct"
82,a,a,,,,0,,,
83,a,c,500.0,7.0,2014.0,0,,,
84,d,a,1500.0,,2005.0,0,,,
85,d,c,120.0,,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
86,d,a,3000.0,,2012.0,0,,,
87,a,a,,,,0,,,
88,d,c,3000.0,3.0,2012.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
89,d,a,1500.0,9.0,,1,31.0,2015.0,"Feb,May,Aug,Nov"
90,d,c,,,,0,,,
91,a,c,1500.0,3.0,2008.0,0,,,
92,d,c,120.0,3.0,,1,31.0,2009.0,"Feb,May,Aug,Nov"
93,d,a,120.0,5.0,2005.0,0,,,
94,c,a,500.0,11.0,2005.0,0,,,
95,a,c,500.0,11.0,2005.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
96,d,c,500.0,7.0,2005.0,1,10.0,2009.0,"Feb,May,Aug,Nov"
97,c,a,120.0,,2008.0,0,,,
98,c,a,500.0,3.0,2008.0,1,10.0,2009.0,"Feb,May,Aug,Nov"
99,a,c,500.0,1.0,2012.0,0,,,
100,b,c,500.0,9.0,2005.0,0,,,
